1119.11:37:05.399 1119.11:37:53.711 4     10.0.2.2        36678 5     10.0.1.2        3000  6   5  2473       141350    
1119.11:37:53.703 1119.11:38:01.651 4     10.0.2.2        36688 5     10.0.1.2        3000  6   7  299        18304     
1119.11:37:05.411 1119.11:37:53.683 5     10.0.1.2        3000  4     10.0.2.2        36678 6   0  7235       10844146  
1119.11:37:49.851 1119.11:37:50.239 4     10.0.2.1        57300 5     10.0.1.1        5201  6   2  9          653       
1119.11:37:49.863 1119.11:37:50.215 5     10.0.1.1        5201  4     10.0.2.1        57300 6   2  8          428       
1119.11:37:53.703 1119.11:38:01.623 5     10.0.1.2        3000  4     10.0.2.2        36688 6   2  477        707142    
1119.11:37:50.027 1119.11:38:50.187 4     10.0.2.1        57302 5     10.0.1.1        5201  6   2  2373       134425    
1119.11:37:50.031 1119.11:38:50.199 5     10.0.1.1        5201  4     10.0.2.1        57302 6   2  4046       6066112   
1119.11:37:50.055 1119.11:38:50.187 4     10.0.2.1        57304 5     10.0.1.1        5201  6   2  2254       128125    
1119.11:37:50.055 1119.11:38:50.199 5     10.0.1.1        5201  4     10.0.2.1        57304 6   2  3857       5782612   
1119.11:37:50.107 1119.11:38:50.187 4     10.0.2.1        57306 5     10.0.1.1        5201  6   2  2116       119769    
1119.11:37:50.115 1119.11:38:50.199 5     10.0.1.1        5201  4     10.0.2.1        57306 6   2  3612       5415112   
1119.11:38:01.623 1119.11:39:02.199 4     10.0.2.2        36692 5     10.0.1.2        3000  6   2  1521       92935     
1119.11:38:01.631 1119.11:39:02.203 5     10.0.1.2        3000  4     10.0.2.2        36692 6   2  2491       3719282   
1119.11:38:50.231 1119.11:39:51.191 4     10.0.2.1        57304 5     10.0.1.1        5201  6   0  2200       124684    
1119.11:38:50.231 1119.11:39:51.191 4     10.0.2.1        57302 5     10.0.1.1        5201  6   0  2275       129188    
1119.11:38:50.231 1119.11:39:51.207 4     10.0.2.1        57306 5     10.0.1.1        5201  6   0  2239       126976    
1119.11:38:50.243 1119.11:39:51.207 5     10.0.1.1        5201  4     10.0.2.1        57304 6   0  3743       5614500   
1119.11:38:50.243 1119.11:39:51.207 5     10.0.1.1        5201  4     10.0.2.1        57302 6   0  3963       5944500   
1119.11:38:50.243 1119.11:39:51.179 5     10.0.1.1        5201  0     10.0.2.1        57306 6   0  3887       5830500   
1119.11:39:02.231 1119.11:40:03.187 4     10.0.2.2        36692 5     10.0.1.2        3000  6   0  1660       100121    
1119.11:39:02.243 1119.11:40:03.187 5     10.0.1.2        3000  4     10.0.2.2        36692 6   0  2749       4112225   
1119.11:39:51.223 1119.11:40:51.135 5     10.0.1.1        5201  4     10.0.2.1        57306 6   1  3726       5587552   
1119.11:39:51.247 1119.11:40:51.131 4     10.0.2.1        57302 5     10.0.1.1        5201  6   4  2235       126768    
1119.11:39:51.247 1119.11:40:51.131 4     10.0.2.1        57304 5     10.0.1.1        5201  6   4  2151       122452    
1119.11:39:51.255 1119.11:40:51.047 5     10.0.1.1        5201  4     10.0.2.1        57302 6   1  4040       6060000   
1119.11:39:51.255 1119.11:40:51.095 5     10.0.1.1        5201  4     10.0.2.1        57304 6   1  3685       5527500   
1119.11:39:51.259 1119.11:40:51.131 4     10.0.2.1        57306 5     10.0.1.1        5201  6   1  2149       122060    
1119.11:40:50.191 1119.11:40:51.163 4     10.0.2.1        57300 5     10.0.1.1        5201  6   1  9          994       
1119.11:40:50.199 1119.11:40:51.135 5     10.0.1.1        5201  4     10.0.2.1        57300 6   1  9          999       
1119.11:40:03.215 1119.11:41:03.287 4     10.0.2.2        36692 5     10.0.1.2        3000  6   0  1517       90864     
1119.11:40:03.223 1119.11:41:03.219 5     10.0.1.2        3000  4     10.0.2.2        36692 6   0  2670       3994373   
1119.11:41:04.411 1119.11:41:04.455 4     10.0.2.2        36692 5     10.0.1.2        3000  6   1  2          104       
1119.11:41:04.427 1119.11:41:04.427 5     10.0.1.2        3000  4     10.0.2.2        36692 6   1  1          52        
1119.11:41:51.143 1119.11:41:51.423 4     10.0.2.1        57316 5     10.0.1.1        5201  6   2  9          653       
1119.11:41:51.151 1119.11:41:51.395 5     10.0.1.1        5201  4     10.0.2.1        57316 6   2  8          428       
1119.11:41:51.303 1119.11:42:52.051 4     10.0.2.1        57318 5     10.0.1.1        5201  6   2  3107       164937    
